index;CD_MUNICIPIO_IBGE;Município;UF;Turno;Nome candidato;Partido;Cargo;Votos válidos;Votos nominais;ano;renda_pc;prop_ocupados_agropecuaria;prop_ocupados_comercio;prop_ocupados_construcao;prop_ocupados_servicos;prop_ocupados_transformacao;idhm;idhm_r
67096;3145455;OLHOS D'ÁGUA;MG;1;KELMON LUIS DA SILVA SOUZA;PTB;Presidente;3763;0;2010.0;348.9;51.3;4.82;5.16;27.98;1.87;0.626;0.607
67097;3145455;OLHOS D'ÁGUA;MG;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;3763;0;2010.0;348.9;51.3;4.82;5.16;27.98;1.87;0.626;0.607
67098;2309300;NOVA RUSSAS;CE;1;JOSE MARIA EYMAEL;DC;Presidente;18224;0;2010.0;304.52;27.93;16.61;7.27;29.77;12.98;0.614;0.585
67099;2701902;CHÃ PRETA;AL;1;JOSE MARIA EYMAEL;DC;Presidente;4373;0;2010.0;226.6;60.97;3.53;2.49;29.18;0.69;0.575;0.537
67100;3532504;NEVES PAULISTA;SP;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;5593;0;2010.0;784.55;11.01;10.59;9.77;37.73;20.9;0.754;0.737
67101;3532603;NHANDEARA;SP;1;JOSE MARIA EYMAEL;DC;Presidente;5916;0;2010.0;878.42;17.12;13.38;5.16;43.3;15.38;0.751;0.755
67102;3532603;NHANDEARA;SP;1;LEONARDO PÉRICLES VIEIRA ROQUE;UP;Presidente;5916;0;2010.0;878.42;17.12;13.38;5.16;43.3;15.38;0.751;0.755
67103;3532603;NHANDEARA;SP;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;5916;0;2010.0;878.42;17.12;13.38;5.16;43.3;15.38;0.751;0.755
67104;4207403;IMBUIA;SC;1;VERA LUCIA PEREIRA DA SILVA SALGADO;PSTU;Presidente;4178;0;2010.0;688.57;58.34;9.1;3.54;20.37;5.84;0.713;0.716
67105;2701605;CANAPI;AL;1;JOSE MARIA EYMAEL;DC;Presidente;9304;0;2010.0;183.83;65.91;5.66;3.12;23.44;0.64;0.506;0.504
